epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
117,38455.1,0.70229,0.72843,0.95749,0.86936,0.007129,0.007129,0.007129
118,38791.8,0.68817,0.7316,0.95876,0.85672,0.00710425,0.00710425,0.00710425
119,39127.9,0.68215,0.73731,0.95939,0.84408,0.0070795,0.0070795,0.0070795
120,39464.5,0.67481,0.73985,0.95812,0.83205,0.00705475,0.00705475,0.00705475
121,39801.1,0.676,0.74683,0.95939,0.81849,0.00703,0.00703,0.00703
122,40138.6,0.67392,0.75254,0.96003,0.8073,0.00700525,0.00700525,0.00700525
123,40476.1,0.66902,0.75444,0.96003,0.79606,0.0069805,0.0069805,0.0069805
124,40813.6,0.66018,0.75571,0.96066,0.78506,0.00695575,0.00695575,0.00695575
125,41151,0.65324,0.75635,0.96193,0.77424,0.006931,0.006931,0.006931
126,41497.8,0.65014,0.75825,0.96129,0.76368,0.00690625,0.00690625,0.00690625
127,41851.2,0.65363,0.76015,0.96129,0.75395,0.0068815,0.0068815,0.0068815
128,42175,0.63569,0.76396,0.96193,0.74347,0.00685675,0.00685675,0.00685675
129,42496.6,0.62808,0.76777,0.96193,0.73235,0.006832,0.006832,0.006832
130,42814.2,0.63095,0.77157,0.96256,0.72268,0.00680725,0.00680725,0.00680725
131,43132.4,0.62803,0.77665,0.96383,0.71343,0.0067825,0.0067825,0.0067825
132,43450.9,0.61206,0.77919,0.96574,0.70377,0.00675775,0.00675775,0.00675775
133,43768.1,0.6219,0.78426,0.96827,0.69441,0.006733,0.006733,0.006733
134,44085.8,0.59975,0.78553,0.96827,0.68532,0.00670825,0.00670825,0.00670825
135,44403.3,0.61335,0.79124,0.96891,0.67681,0.0066835,0.0066835,0.0066835
136,44721.4,0.59814,0.79442,0.96954,0.66848,0.00665875,0.00665875,0.00665875
137,45040.1,0.59683,0.79695,0.97018,0.66039,0.006634,0.006634,0.006634
138,45358.3,0.58272,0.8014,0.97018,0.6524,0.00660925,0.00660925,0.00660925
139,45676.4,0.58634,0.80584,0.97018,0.6439,0.0065845,0.0065845,0.0065845
140,45996,0.5867,0.80711,0.97018,0.63597,0.00655975,0.00655975,0.00655975
141,46314.8,0.58067,0.81091,0.97018,0.62848,0.006535,0.006535,0.006535
142,46633.9,0.57534,0.81536,0.97145,0.62011,0.00651025,0.00651025,0.00651025
143,46953.1,0.57674,0.81789,0.97018,0.61328,0.0064855,0.0064855,0.0064855
144,47272.1,0.56495,0.81916,0.97018,0.60589,0.00646075,0.00646075,0.00646075
145,47592.3,0.56625,0.81916,0.97018,0.5998,0.006436,0.006436,0.006436
146,47913,0.55917,0.8198,0.97145,0.59368,0.00641125,0.00641125,0.00641125
147,48232.6,0.55321,0.8217,0.97208,0.58841,0.0063865,0.0063865,0.0063865
148,48550,0.5549,0.8217,0.97081,0.5816,0.00636175,0.00636175,0.00636175
149,48868.2,0.54048,0.82297,0.97208,0.57428,0.006337,0.006337,0.006337
150,49185.9,0.54519,0.82741,0.97208,0.56643,0.00631225,0.00631225,0.00631225
151,49503.7,0.53173,0.82995,0.97335,0.55933,0.0062875,0.0062875,0.0062875
152,49823.9,0.51873,0.83058,0.97335,0.55254,0.00626275,0.00626275,0.00626275
153,50144.6,0.53215,0.83249,0.97462,0.54694,0.006238,0.006238,0.006238
154,50465.4,0.5261,0.83439,0.97525,0.5412,0.00621325,0.00621325,0.00621325
155,50786.2,0.52815,0.83439,0.97589,0.53493,0.0061885,0.0061885,0.0061885
156,51106.6,0.51803,0.83503,0.97652,0.52895,0.00616375,0.00616375,0.00616375
